relation_set_id,source_id,source_location,hall_id,voces_commit,source_group,relation_role,source_form_pdlma_raw,dictionaria_match_status,dictionaria_entry_ids,dictionaria_headwords_ap,comparison_policy,ap_surface_assertion,generation_license_assertion,correction_assertion
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,LESS_ACTIVE,-y-adè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,BASIC,-adè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V1-ADE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,MORE_ACTIVE,-g-iidè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,LESS_ACTIVE,-y-achè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,BASIC,-achè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V1-ACHE,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 5, pp. 99-100",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V1,MORE_ACTIVE,-g-ichè,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,LESS_ACTIVE,-y-aana,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,BASIC,-aana,UNIQUE_STRICT,aana,raana',RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-AANA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,CAUSATIVE,-u-g-aana,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
PB15-V2-APA,SRC-PEREZ-BAEZ-2015-VALENCE-CHANGING-JUCHITAN,"Table 6, p. 101",HALL-0193,f17c5363caada6f8beb18fa99c39e37cd72c6f09,V2,LESS_ACTIVE,-y-aapa,NO_STRICT,,,RAW_PDLMA_EQUALITY_NO_NORMALIZATION,false,false,false
